timestamp,ticker,bid_price,bid_size,ask_price,ask_size,exchange
2009-02-13 04:12:37.098,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:12:48.388,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:12:48.598,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:12:49.198,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:12:59.677,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:13:04.927,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:13:05.927,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:13:13.540,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:13:14.086,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:13:14.197,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:13:37.755,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:13:42.155,C,3.54,15.0,3.64,10.0,P
2009-02-13 04:13:44.615,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:13:45.585,C,3.54,15.0,3.64,10.0,P
2009-02-13 04:13:46.215,C,3.54,15.0,3.64,10.0,P
2009-02-13 04:13:53.135,C,3.54,15.0,3.64,10.0,P
2009-02-13 04:13:54.705,C,3.54,15.0,3.64,10.0,P
2009-02-13 04:13:55.784,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:13:55.984,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:13:56.184,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:13:57.084,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:14:00.264,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:14:03.504,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:14:03.914,C,3.54,15.0,3.64,10.0,P
2009-02-13 04:14:04.174,C,3.54,15.0,3.64,10.0,P
2009-02-13 04:14:08.614,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:14:08.954,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:14:24.883,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:14:27.193,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:14:30.242,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:14:34.422,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:14:42.072,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:14:43.292,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:14:44.432,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:14:45.322,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:14:50.272,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:15:09.701,C,3.54,15.0,3.63,10.0,P
2009-02-13 04:15:11.520,C,3.54,15.0,3.64,5.0,P
2009-02-13 04:15:11.600,C,3.54,15.0,3.63,5.0,P
2009-02-13 04:15:11.670,C,3.54,15.0,3.94,17.0,P
2009-02-13 04:15:11.740,C,3.54,15.0,3.65,5.0,P
2009-02-13 04:15:17.620,C,3.52,20.0,3.94,17.0,P
2009-02-13 04:15:17.690,C,3.54,15.0,3.65,5.0,P
2009-02-13 04:15:22.340,C,3.54,15.0,3.63,5.0,P
2009-02-13 04:15:26.719,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:15:45.489,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:15:45.559,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:15:48.908,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:15:48.979,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:15:54.948,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:15:55.018,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:16:02.848,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:16:02.918,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:16:13.597,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:16:13.667,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:16:28.826,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:16:28.906,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:16:29.316,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:16:29.396,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:16:29.636,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:16:29.706,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:16:29.868,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:16:29.936,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:16:30.366,C,3.55,10.0,3.64,5.0,P
2009-02-13 04:16:30.376,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:16:30.452,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:16:31.906,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:16:31.976,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:17:03.855,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:17:03.935,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:17:12.112,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:17:12.184,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:17:12.334,C,3.55,10.0,3.64,5.0,P
2009-02-13 04:17:12.344,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:17:12.414,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:17:12.494,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:17:12.564,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:17:12.824,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:17:12.904,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:17:29.761,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:17:29.824,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:17:36.253,C,3.63,5.0,3.94,17.0,P
2009-02-13 04:17:36.333,C,3.63,5.0,3.64,5.0,P
2009-02-13 04:17:39.003,C,3.63,5.0,3.94,17.0,P
2009-02-13 04:17:39.073,C,3.63,5.0,3.65,5.0,P
2009-02-13 04:17:47.032,C,3.63,5.0,3.64,5.0,P
2009-02-13 04:17:50.252,C,3.61,5.0,3.64,5.0,P
2009-02-13 04:17:50.482,C,3.59,5.0,3.64,5.0,P
2009-02-13 04:17:53.512,C,3.55,10.0,3.64,5.0,P
2009-02-13 04:17:53.522,C,3.57,5.0,3.64,5.0,P
2009-02-13 04:17:53.731,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:18:17.411,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:18:17.491,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:18:18.501,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:18:18.571,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:18:18.831,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:18:18.901,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:18:21.600,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:18:21.681,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:18:22.511,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:18:22.581,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:18:22.621,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:18:22.691,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:18:27.620,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:18:27.690,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:18:28.430,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:18:28.500,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:18:28.890,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:18:28.970,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:18:30.120,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:18:30.200,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:18:30.600,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:18:30.671,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:19:08.328,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:19:08.408,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:19:14.238,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:19:14.308,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:19:21.827,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:19:21.907,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:19:22.657,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:19:22.728,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:19:31.887,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:19:31.957,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:19:34.146,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:19:34.217,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:19:43.346,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:19:43.427,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:19:53.926,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:19:53.996,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:19:54.006,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:19:54.076,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:02.125,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:02.195,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:04.835,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:04.905,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:18.004,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:18.074,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:19.154,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:19.224,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:19.914,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:19.984,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:22.104,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:22.184,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:22.874,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:22.944,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:24.614,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:24.684,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:28.594,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:28.674,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:30.614,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:30.694,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:33.844,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:33.924,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:38.883,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:38.953,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:45.103,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:45.173,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:45.863,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:45.933,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:53.673,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:53.743,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:20:59.360,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:20:59.432,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:21:00.162,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:21:00.232,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:21:02.122,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:21:02.192,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:21:03.690,C,3.55,15.0,3.94,17.0,P
2009-02-13 04:21:03.760,C,3.55,15.0,3.64,5.0,P
2009-02-13 04:21:06.502,C,3.55,10.0,3.65,5.0,P
2009-02-13 04:21:06.631,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:21:14.282,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:21:14.352,C,3.55,10.0,3.63,5.0,P
2009-02-13 04:21:17.107,C,3.55,10.0,3.63,10.0,P
2009-02-13 04:21:46.389,C,3.55,10.0,3.64,5.0,P
2009-02-13 04:21:46.529,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:21:46.599,C,3.55,10.0,3.65,5.0,P
2009-02-13 04:21:57.839,C,3.55,10.0,3.64,5.0,P
2009-02-13 04:22:05.099,C,3.55,10.0,3.94,17.0,P
2009-02-13 04:22:05.169,C,3.55,10.0,3.64,5.0,P
